,id,username,created_at,lng,lat,text
856,1518821799412310016,TimboTheGhey,Tue Apr 26 05:18:29 +0000 2022,-76.62048200000002,39.284713,"I’m happy to see Danielle Macdonald, the other mama from BirdBox not Sandra Bullock, getting all this work. I loved her in #TheTourist"
1072,1518822086621294592,shakirakelly,Tue Apr 26 05:19:38 +0000 2022,-122.035069,47.6081205,@gardenngather So happy for you that you had this weekend and got to do all of those wonderful things you planned.… https://t.co/WPNnHqq7yT
1412,1518822572850253825,hbwcrystal,Tue Apr 26 05:21:34 +0000 2022,-117.294096,34.134925,@soulshli happy4u💜
1435,1518822594086014976,eddiesofficials,Tue Apr 26 05:21:39 +0000 2022,-122.16229399999999,37.7050435,@coasterfreek I own a Tesla powerwall. I'm very happy.
1489,1518822684980785152,DebbieHere2,Tue Apr 26 05:22:01 +0000 2022,-122.3306025,47.614816999999995,@TheDanCosta You're so cute - I'm crazy happy for you!! 💜
1997,1518823455742955520,fuckemweballdtx,Tue Apr 26 05:25:04 +0000 2022,-96.621634,32.907641999999996,Why I’m I only happy when I’m not here
2132,1518823660878020609,alyssaliane25,Tue Apr 26 05:25:53 +0000 2022,-98.5406515,29.417501,My bday felt like it lasted forever lol but so happy I got to spend it with the people I spent it with 🥰🥹 #soblessed
2243,1518823828566069248,VenegasNatalie,Tue Apr 26 05:26:33 +0000 2022,-119.34025600000001,36.1956895,Face masks make me happy
2289,1518823890524463105,lonelyasshole,Tue Apr 26 05:26:48 +0000 2022,-79.27256949999999,43.629311,been driving a honda civic around this week but i’m back home to my baby volkswagen and i’m happy as a clam 🐚
2372,1518824040940675073,Tahjdontcap,Tue Apr 26 05:27:24 +0000 2022,-97.1356375,32.70185,@iichlban happy birthday fam
2699,1518824559058763777,Tilde_Fox,Tue Apr 26 05:29:27 +0000 2022,-73.9685415,40.780709,@Stevenmkwii And happy bday!
2800,1518824694308290560,nastyyyyk,Tue Apr 26 05:30:00 +0000 2022,-93.809434,32.461107,Nephew I wish you had a twitter . happy 3rd birthday to the best person in the world I love you so so so much 🥺💙
2893,1518824814919634944,showmeurtatis23,Tue Apr 26 05:30:28 +0000 2022,-117.10498899999999,32.810012,@neverhappychris Literally no need for vegetables
2949,1518824888135467008,chrisusanz,Tue Apr 26 05:30:46 +0000 2022,-97.326981,27.879162,Well perhaps their purgatory will have all those things. Hope it makes them happy. But I don’t want to be there.
2995,1518824968708145152,Westsidedonniep,Tue Apr 26 05:31:05 +0000 2022,-81.705467,41.49593950000001,I live through love not fear that’s why I live happy and not anxious and sad
3359,1518825507432849408,iamvickive,Tue Apr 26 05:33:14 +0000 2022,-95.4464865,29.838495,So happy about this! He is awesome.
3553,1518825811616407553,BayleeBatesNews,Tue Apr 26 05:34:26 +0000 2022,-97.4060975,31.1104765,"@GonzalesKristie @6NewsCTX Thank you so much, Kristie!! 🥰 I’m very happy and thankful for the opportunity!"
4023,1518826498098094080,ivan_jamalk,Tue Apr 26 05:37:10 +0000 2022,-104.9220935,39.713563,I be so happy there omgggg
4224,1518826836305739777,Sips_oftea,Tue Apr 26 05:38:30 +0000 2022,-122.3306025,47.614816999999995,Well I'm just happy to share with you guys...I'm sure some aren't happy but why should I care..lol people should kn… https://t.co/QQF3QVp8gy
